run,pattern,uptake_factor,peak_ngu,auc_ngu_ms,excess_auc_ngu_ms,time_above_ms,near_saturation_ms,clearance_ms
171,Burst,0.75,3.956537267432412,686.4417752748967,339.99331949667265,270.0,159.0,85.25
172,Burst,0.75,3.7594585900536535,656.0876395811684,317.8098155986235,258.5,148.75,88.75
173,Burst,0.75,4.073861627631685,736.7768023959386,380.3662025435497,283.75,171.5,95.5
174,Burst,0.75,4.108149006410189,743.2512293563997,382.5863137901512,281.0,175.0,94.25
175,Burst,0.75,4.648470864620695,783.6120576109912,414.6606175153043,298.75,181.75,106.0
176,Burst,0.75,4.5199768108972584,797.8421561231039,426.24914361687297,294.5,184.75,87.75
177,Burst,0.75,4.026423693623519,704.2151086004071,353.99880359741695,270.25,165.25,93.75
178,Burst,0.75,4.377397397356939,802.1722564498277,430.2579554461296,303.0,193.0,96.5
179,Burst,0.75,4.699366405217935,816.0601972790505,440.98168304103245,297.5,189.25,85.25
180,Burst,0.75,4.555380087711896,803.9651424391957,431.3178205027409,299.75,189.0,104.5
181,Burst,0.75,4.034673269871448,721.0233196721438,367.25984959816964,275.25,168.25,92.25
182,Burst,0.75,4.5631318122906235,775.5814560614486,408.96707199394035,288.5,179.75,89.5
183,Burst,0.75,4.344111413307143,812.129691542186,436.9828230175183,296.75,190.5,97.75
184,Burst,0.75,4.115383926595588,759.0627410603223,395.7974904180414,287.75,178.75,97.5
185,Burst,0.75,4.46342051276312,793.5301279180585,423.2120968745937,294.0,189.75,92.5
186,Burst,0.75,4.617966612896551,832.2764828083323,452.2095686732946,304.0,198.5,93.25
187,Burst,0.75,4.283840988042804,759.3389191637258,394.8975642556039,290.0,177.25,94.0
188,Burst,0.75,4.598517364585519,813.6896559418433,437.69850711861193,299.75,188.25,95.0
189,Burst,0.75,4.2523099335498244,774.649871434692,407.4498994552864,293.25,181.0,93.75
190,Burst,0.75,4.700480938028831,870.066318853202,484.3418057395933,309.75,207.75,92.75
191,Burst,0.75,4.216637001427109,772.3336227047035,405.25618665040975,290.0,181.25,94.5
192,Burst,0.75,4.389867986912564,789.1276784951605,417.83161334801883,295.25,184.5,101.75
193,Burst,0.75,4.309184872426346,824.4115938642619,446.300908000677,308.25,194.0,98.5
