model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Michaelis-Menten,0.15171551500583677,0.09618115476939304,1.0000609604621578
Michaelis-Menten,0.18240216787118196,0.09618115476939304,0.9954626699485175
Michaelis-Menten,0.21929563922863704,0.09618115476939304,0.988981921461678
Michaelis-Menten,0.2636513477112815,0.09618115476939304,0.9809326225969888
Michaelis-Menten,0.3169786384922227,0.09618115476939304,0.9725324625295494
Michaelis-Menten,0.38109214359264953,0.09618115476939304,0.9658092201311002
Michaelis-Menten,0.45817353055355475,0.09618115476939304,0.9626191335398906
Michaelis-Menten,0.5508457406676333,0.09618115476939304,0.9634676982391914
Michaelis-Menten,0.6622622429651823,0.09618115476939304,0.9673901976230687
Michaelis-Menten,0.7962143411069947,0.09618115476939304,0.9728319526334603
Michaelis-Menten,0.9572601846452766,0.09618115476939304,0.9784823704699883
Michaelis-Menten,1.150879874674314,0.09618115476939304,0.9835680515876073
Michaelis-Menten,1.3836619418378735,0.09618115476939304,0.9877762691395396
Michaelis-Menten,1.663527542205342,0.09618115476939304,0.9910770739228694
Michaelis-Menten,2.0,0.09618115476939304,0.9935755177835468
Transporter-state,0.02,0.09618115476939304,0.99593126664977
Transporter-state,0.024045288692348264,0.09618115476939304,0.9937888653836582
Transporter-state,0.02890879541491855,0.09618115476939304,0.9897878441338614
Transporter-state,0.03475601657498751,0.09618115476939304,0.9833408276109087
Transporter-state,0.0417859226170808,0.09618115476939304,0.980403384112557
Transporter-state,0.050237728630191596,0.09618115476939304,0.9830998320636976
Transporter-state,0.06039903440804033,0.09618115476939304,0.9866767307605383
Transporter-state,0.07261561095402029,0.09618115476939304,0.9898313255428136
Transporter-state,0.08730316644803322,0.09618115476939304,0.9927576770491225
Transporter-state,0.10496149204995453,0.09618115476939304,0.9947271316962017
Transporter-state,0.1261914688960387,0.09618115476939304,0.9960446030450831
Transporter-state,0.15171551500583677,0.09618115476939304,0.996995955225629
Transporter-state,0.18240216787118196,0.09618115476939304,0.997725882415227
Transporter-state,0.21929563922863704,0.09618115476939304,0.9983032615984101
Transporter-state,0.2636513477112815,0.09618115476939304,0.9987584400213906
Transporter-state,0.3169786384922227,0.09618115476939304,0.999108570290091
Transporter-state,0.38109214359264953,0.09618115476939304,0.99936998033457
Transporter-state,0.45817353055355475,0.09618115476939304,0.999560204499959
Transporter-state,0.5508457406676333,0.09618115476939304,0.9996960451121478
Transporter-state,0.6622622429651823,0.09618115476939304,0.9997918117140125
Transporter-state,0.7962143411069947,0.09618115476939304,0.9998587348807851
Transporter-state,0.9572601846452766,0.09618115476939304,0.9999051867024991
Transporter-state,1.150879874674314,0.09618115476939304,0.9999372193472646
Transporter-state,1.3836619418378735,0.09618115476939304,0.9999591349706568
Transporter-state,1.663527542205342,0.09618115476939304,0.9999739677004352
Transporter-state,2.0,0.09618115476939304,0.999983851513459
Linear,0.02,0.1156351816596742,0.9999999999999986
Linear,0.024045288692348264,0.1156351816596742,0.9999999999999989
Linear,0.02890879541491855,0.1156351816596742,0.9999999999999986
Linear,0.03475601657498751,0.1156351816596742,0.9999999999999991
Linear,0.0417859226170808,0.1156351816596742,0.9999999999999941
Linear,0.050237728630191596,0.1156351816596742,0.999999999999997
Linear,0.06039903440804033,0.1156351816596742,1.0000000000000033
Linear,0.07261561095402029,0.1156351816596742,1.0000000000000049
Linear,0.08730316644803322,0.1156351816596742,0.9999999999999998
Linear,0.10496149204995453,0.1156351816596742,0.9999999999999963
Linear,0.1261914688960387,0.1156351816596742,0.9999999999999973
Linear,0.15171551500583677,0.1156351816596742,0.9999999999999933
Linear,0.18240216787118196,0.1156351816596742,1.0000000000000038
Linear,0.21929563922863704,0.1156351816596742,0.9999999999999957
Linear,0.2636513477112815,0.1156351816596742,1.0000000000000016
Linear,0.3169786384922227,0.1156351816596742,0.9999999999999981
Linear,0.38109214359264953,0.1156351816596742,1.0000000000000013
Linear,0.45817353055355475,0.1156351816596742,1.0000000000000033
Linear,0.5508457406676333,0.1156351816596742,0.9999999999999996
Linear,0.6622622429651823,0.1156351816596742,0.9999999999999991
Linear,0.7962143411069947,0.1156351816596742,0.9999999999999994
Linear,0.9572601846452766,0.1156351816596742,1.0000000000000033
Linear,1.150879874674314,0.1156351816596742,0.9999999999999962
Linear,1.3836619418378735,0.1156351816596742,0.9999999999999957
Linear,1.663527542205342,0.1156351816596742,0.9999999999999942
Linear,2.0,0.1156351816596742,0.9999999999999966
Michaelis-Menten,0.02,0.1156351816596742,1.0037968512354098
Michaelis-Menten,0.024045288692348264,0.1156351816596742,1.00448487193225
Michaelis-Menten,0.02890879541491855,0.1156351816596742,1.005275392463241
Michaelis-Menten,0.03475601657498751,0.1156351816596742,1.006172119289606
Michaelis-Menten,0.0417859226170808,0.1156351816596742,1.0071715039430178
Michaelis-Menten,0.050237728630191596,0.1156351816596742,1.0082575061004977
Michaelis-Menten,0.06039903440804033,0.1156351816596742,1.0093935933098623
Michaelis-Menten,0.07261561095402029,0.1156351816596742,1.010510791674342
Michaelis-Menten,0.08730316644803322,0.1156351816596742,1.0114903660969412
Michaelis-Menten,0.10496149204995453,0.1156351816596742,1.0121398713942629
Michaelis-Menten,0.1261914688960387,0.1156351816596742,1.0121627868777052
Michaelis-Menten,0.15171551500583677,0.1156351816596742,1.0111270161780377
Michaelis-Menten,0.18240216787118196,0.1156351816596742,1.0084514518086585
Michaelis-Menten,0.21929563922863704,0.1156351816596742,1.0034623155623428
Michaelis-Menten,0.2636513477112815,0.1156351816596742,0.9956285504298281
Michaelis-Menten,0.3169786384922227,0.1156351816596742,0.9851153149576616
Michaelis-Menten,0.38109214359264953,0.1156351816596742,0.9735443944499405
Michaelis-Menten,0.45817353055355475,0.1156351816596742,0.9640567779492877
Michaelis-Menten,0.5508457406676333,0.1156351816596742,0.959601306450356
Michaelis-Menten,0.6622622429651823,0.1156351816596742,0.9607594633271833
Michaelis-Menten,0.7962143411069947,0.1156351816596742,0.9657814082620787
Michaelis-Menten,0.9572601846452766,0.1156351816596742,0.972337241815185
Michaelis-Menten,1.150879874674314,0.1156351816596742,0.9787624464877204
Michaelis-Menten,1.3836619418378735,0.1156351816596742,0.9842543428788119
Michaelis-Menten,1.663527542205342,0.1156351816596742,0.9885994648878711
Michaelis-Menten,2.0,0.1156351816596742,0.9918791214347946
Transporter-state,0.02,0.1156351816596742,0.9954970306718333
Transporter-state,0.024045288692348264,0.1156351816596742,0.9930049409925087
Transporter-state,0.02890879541491855,0.1156351816596742,0.9882369748778213
Transporter-state,0.03475601657498751,0.1156351816596742,0.9801123978460282
Transporter-state,0.0417859226170808,0.1156351816596742,0.9756063407017906
Transporter-state,0.050237728630191596,0.1156351816596742,0.9786768169021165
Transporter-state,0.06039903440804033,0.1156351816596742,0.9832155521324588
Transporter-state,0.07261561095402029,0.1156351816596742,0.9872388813747741
Transporter-state,0.08730316644803322,0.1156351816596742,0.9909728232734066
Transporter-state,0.10496149204995453,0.1156351816596742,0.9934950545149864
