run,model,pattern,release_cv,isi_cv,minimum_isi_ms,gamma_shape,peak_km,auc_km_ms,excess_auc_km_ms,clearance_ms,minimum_free_fraction
82,Linear,Renewal,0.0,0.37646717607798835,20.33073496467125,7.073375599228068,0.25,1.8667690465374907,0.0,1.68,1.0
83,Linear,Renewal,0.0,2.161020038976037,0.0001525494982388409,0.2277021513825012,1.1387177135807849,1.8667690465375064,0.24454334103869171,1.68,1.0
84,Linear,Renewal,0.0,0.7184740273025362,7.9535607469940715,1.657358399434756,0.25000000007610934,1.866769046537494,1.59192437010347e-12,1.68,1.0
85,Linear,Renewal,0.0,0.8389479307507938,3.4271759189186923,1.3455897316106507,0.2500203794112747,1.866769046537494,4.075882255005769e-07,1.68,1.0
86,Linear,Renewal,0.0,0.7112608983916338,2.58699765589364,1.7192925541128818,0.2502058001185729,1.8667690465374909,4.116002379739303e-06,1.68,1.0
87,Linear,Renewal,0.0,1.3098078402815934,4.078742676938418e-08,0.36648268880746626,0.5,1.8667690465375073,0.0722459848772928,1.94,1.0
88,Linear,Renewal,0.0,0.2708014951378386,24.168545241908987,7.758454281117647,0.25,1.8667690465374907,0.0,1.68,1.0
89,Linear,Renewal,0.0,1.0130612727785322,0.7198631345486319,1.0674226174811912,0.2844469581270761,1.866769046537498,0.0011843276843858388,1.68,1.0
90,Linear,Renewal,0.0,0.9643980354690038,1.923049441951548,3.0008944704488396,0.2512662000448276,1.866769046537493,2.5324000913216073e-05,1.68,1.0
91,Linear,Renewal,0.0,0.5193158198257726,14.521962639644471,2.798306478440977,0.25,1.8667690465374907,0.0,1.68,1.0
92,Linear,Renewal,0.0,1.2049768053718892,0.020177355182227075,0.454718066070648,0.4866078773663137,1.866769046537496,0.03317264673973199,1.68,1.0
93,Linear,Renewal,0.0,0.42095475715313946,14.021898106193476,4.414884307592208,0.25,1.8667690465374907,0.0,1.68,1.0
94,Linear,Renewal,0.0,0.6638581672016338,5.535382932893526,2.7851579461082823,0.2500000595176613,1.8667690465374893,1.19035322931893e-09,1.68,1.0
95,Linear,Renewal,0.0,1.4953704959531442,0.033281183305916784,0.694986940434213,0.4739331509241443,1.8667690465375002,0.0334751969969376,1.68,1.0
96,Linear,Renewal,0.0,0.30540970718773375,19.15562110607209,9.96041063201012,0.25,1.8667690465374907,0.0,1.68,1.0
97,Linear,Renewal,0.0,1.4866871066304057,0.00035555592627645183,0.31099919741977666,0.6096354657065394,1.8667690465374993,0.10646962147179694,1.68,1.0
98,Linear,Renewal,0.0,0.4857823030781644,14.278562898986138,3.687656621066483,0.25,1.8667690465374907,0.0,1.68,1.0
99,Linear,Renewal,0.0,0.6777640810682598,5.823833445743219,1.6494259565683564,0.250000027535599,1.8667690465374909,5.511247080924874e-10,1.68,1.0
100,Linear,Renewal,0.0,1.1291171703769989,0.6842717087771888,0.7430649730426794,0.28845674261044324,1.8667690465374955,0.0014150428495838018,1.68,1.0
101,Linear,Renewal,0.0,1.0225082046403873,0.32442613023482636,0.5248987262397049,0.3536017428237608,1.866769046537495,0.008346163574908035,1.68,1.0
102,Linear,Renewal,0.0,0.3457134389569996,12.114917361794255,6.78486084702495,0.25000000000000083,1.8667690465374909,1.6653345369377347e-17,1.68,1.0
103,Linear,Renewal,0.0,1.5124181000646233,0.01209335457760119,0.5830015415681628,0.7105410278934838,1.8667690465375026,0.08277736436710179,1.68,1.0
104,Linear,Renewal,0.0,1.0212221962600598,3.03363363551739,1.8160011118068697,0.25005800941177037,1.8667690465374986,1.2508805519884093e-06,1.68,1.0
105,Linear,Renewal,0.0,0.26420096455230024,21.23084128368754,10.750693973768712,0.25,1.8667690465374907,0.0,1.68,1.0
106,Linear,Renewal,0.0,0.46683917852062684,10.683248039935336,2.155128994806764,0.25000000000004263,1.8667690465374918,8.526512829121202e-16,1.68,1.0
107,Linear,Renewal,0.0,1.0473596804303629,5.214285402908104,0.9242525564903545,0.250000143621284,1.866769046537494,2.8743252622476233e-09,1.68,1.0
108,Linear,Renewal,0.0,1.1074268227001505,0.06930781916446449,0.4523145515289251,0.4661816993365673,1.8667690465374918,0.028844192827939055,1.68,1.0
109,Linear,Renewal,0.0,0.5597978016102327,8.693437560617326,1.6076383015089826,0.25000000000992517,1.8667690465374913,1.985034359108795e-13,1.68,1.0
110,Linear,Renewal,0.0,1.0083663766259219,1.7089019918471422,0.9775617525339645,0.25232017757999514,1.8667690465374924,4.6944436351396005e-05,1.68,1.0
111,Linear,Renewal,0.0,1.6864090486460934,0.5448566724389252,0.5502828838067215,0.3035102956873088,1.8667690465374909,0.004204910076524255,1.68,1.0
112,Linear,Renewal,0.0,0.9002049586532556,0.7747377794352133,0.7463102723574706,0.28085526343789463,1.8667690465374918,0.0009671083971441041,1.68,1.0
113,Linear,Renewal,0.0,0.4990884234030541,9.658338690326104,2.7428942790627575,0.2500000000007063,1.866769046537491,1.4126477765330493e-14,1.68,1.0
114,Linear,Renewal,0.0,0.7101117531395151,8.363943789920995,2.346120649624798,0.2500000000253059,1.866769046537493,5.061184804588947e-13,1.68,1.0
115,Linear,Renewal,0.0,0.44116540548232097,11.309366997007913,4.387634233355723,0.2500000000000077,1.8667690465374907,1.5432100042289677e-16,1.68,1.0
116,Linear,Renewal,0.0,1.0772728996587495,2.1314704269242384,0.8016869587625269,0.2507301199787146,1.8667690465374962,1.468525822022282e-05,1.68,1.0
117,Linear,Renewal,0.0,1.3183036125441778,0.13560570180243303,0.6759708610238092,0.42004518747374897,1.866769046537496,0.021455376943710965,1.68,1.0
118,Linear,Renewal,0.0,2.3637329834449825,0.00014121334038463829,0.20290285856552837,0.866884681220142,1.866769046537511,0.2452404815850452,1.68,1.0
119,Linear,Renewal,0.0,0.5624128883021781,9.482932740153956,3.340707365937189,0.25000000000109723,1.866769046537491,2.194799897381472e-14,1.68,1.0
120,Linear,Renewal,0.0,0.622763653912753,3.9536090427505144,2.7281432754320973,0.25000486979404646,1.8667690465374929,9.748059693448497e-08,1.68,1.0
121,Linear,Renewal,0.0,0.277380905659539,21.844771343712566,10.467940529823101,0.25,1.8667690465374907,0.0,1.68,1.0
122,Linear,Renewal,0.0,0.2469098990091007,22.108140814156513,16.522853666238426,0.25,1.8667690465374907,0.0,1.68,1.0
123,Linear,Renewal,0.0,0.8793638137823843,0.20463999565998847,0.598347940751498,0.3941557322828093,1.8667690465374962,0.01251534981335087,1.68,1.0
124,Linear,Renewal,0.0,1.0768208800463253,2.8085864571241927,0.6341178185763875,0.2501123121443847,1.8667690465374942,2.710141646073971e-06,1.68,1.0
125,Linear,Renewal,0.0,2.240830200823083,0.03205208689973915,0.2930279961135916,0.4739340378873853,1.8667690465375042,0.06285094025825745,1.68,1.0
126,Linear,Renewal,0.0,1.2430927172736832,0.14714719390008213,0.7896811436538504,0.41093612306110827,1.8667690465374978,0.030692971142054354,1.68,1.0
127,Linear,Renewal,0.0,0.43385293610107434,7.973878136968693,3.5037984904946957,0.25000000007203227,1.8667690465374922,1.440658703444342e-12,1.68,1.0
128,Linear,Renewal,0.0,0.27455803576529686,25.916561057146964,8.033996616742899,0.25,1.8667690465374907,0.0,1.68,1.0
129,Linear,Renewal,0.0,1.3866802475935622,1.1368683772161603e-13,0.2087884235801449,0.5000011072053145,1.8667690465375055,0.11916770934144803,1.68,1.0
130,Linear,Renewal,0.0,0.42223148837467733,16.501584629302442,4.34709271085914,0.25,1.8667690465374907,0.0,1.68,1.0
131,Linear,Renewal,0.0,0.32308529503408795,15.15496459048579,6.021117894700023,0.25,1.8667690465374907,0.0,1.68,1.0
132,Linear,Renewal,0.0,1.347634821712475,3.690671519507305e-07,0.2084437877700953,0.5000001595158867,1.866769046537498,0.13686567232427177,1.94,1.0
133,Linear,Renewal,0.0,1.0446666375824327,0.6332633883647532,0.8153396737160907,0.29536332955433875,1.8667690465374982,0.0033289334663389367,1.68,1.0
134,Linear,Renewal,0.0,0.7163170266134705,2.838888225540245,0.9011929481649931,0.2501006016493381,1.8667690465374944,2.026447994426528e-06,1.68,1.0
135,Linear,Renewal,0.0,1.5976865760265748,2.650592398367735e-05,0.36552217332173215,0.5209871561716267,1.8667690465374973,0.07852564973253041,1.68,1.0
136,Linear,Renewal,0.0,0.5453249843364024,5.950676312126518,2.8520453780602835,0.2500000197892654,1.8667690465374898,3.957853145220014e-10,1.68,1.0
137,Linear,Renewal,0.0,1.6251437047321808,0.007475730145245052,0.3946827983370139,0.7366078773663137,1.8667690465374913,0.10346246364383309,1.68,1.0
138,Linear,Renewal,0.0,0.3950034604409223,22.527121934914817,9.004608299032835,0.25,1.8667690465374907,0.0,1.68,1.0
139,Linear,Renewal,0.0,1.104551079321741,0.542555285774597,0.6247073751677585,0.3065390048325238,1.866769046537497,0.0027778570294573024,1.76,1.0
140,Linear,Renewal,0.0,0.46261328191498674,15.428779436194972,5.702455340323663,0.25,1.8667690465374907,0.0,1.68,1.0
141,Linear,Renewal,0.0,0.6955595187493137,1.7951768399212824,2.091852233365462,0.251761842896689,1.8667690465374938,3.52370623568754e-05,1.68,1.0
142,Linear,Renewal,0.0,1.3926713845591674,0.001589390133545976,0.5425485292938428,0.5,1.866769046537502,0.03566325970730757,1.68,1.0
143,Linear,Renewal,0.0,1.379657862510192,0.13049964018205173,0.3951083575660274,0.4200451870543058,1.8667690465374915,0.016964288530841816,1.68,1.0
144,Linear,Renewal,0.0,0.4255012761857369,16.837198987182063,7.606529767647169,0.25,1.8667690465374907,0.0,1.68,1.0
145,Linear,Renewal,0.0,1.048810046320293,0.5228861652437331,1.0195471349159553,0.30973914041013806,1.8667690465374926,0.002883545965699176,1.68,1.0
146,Linear,Renewal,0.0,1.0160409546839628,0.060798469430139335,0.6716801265554674,0.4619373896727398,1.8667690465374973,0.03590884095355907,1.68,1.0
147,Linear,Renewal,0.0,0.3062254978843606,22.15379319796557,16.059342418190788,0.25,1.8667690465374907,0.0,1.68,1.0
148,Linear,Renewal,0.0,0.3488410321709031,23.880897884753978,5.500743723335069,0.25,1.8667690465374907,0.0,1.68,1.0
