parameter_set,capacity_km,k_bind_per_km_ms,k_unbind_per_ms,k_translocate_per_ms,recovery_tau_ms,pulse_size_over_km,k_loss_per_ms,peak_ratio_burst_tonic,auc_ratio_burst_tonic,clearance_ratio_burst_tonic
148,0.35985728171740383,7.675619487581708,1.52943335493825,7.150614441062143,39.28031597138208,0.5664840037116775,0.0025549376571751448,1.0913628371278137,0.9448195933937588,1.0705156950672645
149,1.041977644870532,4.383296054733398,0.628622969138917,6.463344124341605,47.50263243021392,0.43871241346372225,0.0032458466861576604,1.0000001689483433,2.0002316594650953,4.110236220472441
150,0.6368764908803548,4.432459038017104,1.3382096573719706,3.7823328392152606,28.513719120407778,0.6517015973188715,0.0006888825869940534,1.608853401194995,3.883586351214602,2.7430626927029804
151,0.5883343518651847,8.917347594556635,0.5528763528519441,5.188683980638552,10.210725075684476,0.7190985318870182,0.004638051568349057,1.000000000000003,1.5527502214855269,1.3741258741258742
152,1.1182316627222217,9.941708929252096,0.5399805844906762,5.657879911770147,30.01862451964368,0.6643499071671366,0.004679752400186358,1.0000000000000004,3.4277940297446565,5.986111111111112
153,0.7713112651046596,8.115579542658654,0.6042661846041706,7.748914232980974,13.471420518259208,0.5292251916568259,0.0037873623537799557,1.0,1.2994901663337934,1.525
154,0.5923880272566407,4.553699165837927,1.3445862130938553,4.858928898461345,46.13001914243499,0.22399766132981214,0.002817944150200652,1.000007386814084,1.474063677794772,2.3878787878787877
155,1.4671973179728242,6.975586394720854,0.6489709189437016,5.633986961452923,21.442420964546628,0.2607770838804058,0.0035483831971479707,1.0,1.0600272353206825,1.0909090909090908
156,1.3882451691988873,8.152758221567739,0.9277138175907012,2.685637019283018,31.6321310552744,0.732353124324768,0.0027646436121773893,1.0000000000004226,2.25425757252396,3.5957446808510634
157,0.4305872097256802,6.802410245877865,1.0187364290630996,6.71449166496905,10.770946724671418,0.08607832051878554,0.0007237033534210152,1.0,1.027445252254976,1.0408163265306123
