model,pattern,release_cv,metric,mean,sd,ci95_low,ci95_high
Transporter-state,Burst,0.0,auc_km_ms,2.2218380499263612,4.448312140598118e-16,2.2218380499263612,2.2218380499263612
Transporter-state,Burst,0.0,excess_auc_km_ms,0.0,0.0,0.0,0.0
Transporter-state,Burst,0.0,clearance_ms,2.899999999999999,8.896624281196235e-16,2.899999999999999,2.899999999999999
Transporter-state,Burst,0.0,minimum_free_fraction,0.40038720347386775,5.560390175747647e-17,0.40038720347386775,0.40038720347386775
Linear,Tonic,0.15,peak_km,0.3281883789111443,0.028929078768571908,0.32491474547391347,0.3314620123483751
Linear,Tonic,0.15,auc_km_ms,1.867724775852777,0.0610126052334946,1.8608205496178956,1.8746290020876586
Linear,Tonic,0.15,excess_auc_km_ms,0.012952251812500495,0.0067197194749503905,0.012191843970343185,0.013712659654657806
Linear,Tonic,0.15,clearance_ms,1.6787999999999998,0.05567367895539228,1.672499930147792,1.6851000698522076
Linear,Tonic,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Tonic,0.15,peak_km,0.3281883789111443,0.028929078768571908,0.32491474547391347,0.3314620123483751
Michaelis-Menten,Tonic,0.15,auc_km_ms,1.9700012461920524,0.07206249373303344,1.961846607361625,1.9781558850224799
Michaelis-Menten,Tonic,0.15,excess_auc_km_ms,0.015056028122915939,0.00815903359486713,0.014132746555420485,0.015979309690411392
Michaelis-Menten,Tonic,0.15,clearance_ms,1.6525333333333334,0.06628394042362368,1.645032599367414,1.6600340672992528
Michaelis-Menten,Tonic,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Tonic,0.15,peak_km,0.3281883789111443,0.028929078768571908,0.32491474547391347,0.3314620123483751
Transporter-state,Tonic,0.15,auc_km_ms,1.8773010072606777,0.09374113223301488,1.866693199546619,1.8879088149747365
Transporter-state,Tonic,0.15,excess_auc_km_ms,0.009297010795805194,0.00473481800711072,0.00876121569941522,0.009832805892195168
Transporter-state,Tonic,0.15,clearance_ms,2.220466666666667,0.27044577759250427,2.189862845937798,2.251070487395536
Transporter-state,Tonic,0.15,minimum_free_fraction,0.44428981210094926,0.04037387092060134,0.4397210785130789,0.4488585456888196
Linear,Poisson,0.15,peak_km,0.3468596191837908,0.050741178029453556,0.34111771435610727,0.3526015240114744
Linear,Poisson,0.15,auc_km_ms,1.8677247758527813,0.061012605233494686,1.8608205496178996,1.874629002087663
Linear,Poisson,0.15,excess_auc_km_ms,0.016809965120705105,0.010984552341549209,0.015566946007446195,0.018052984233964016
Linear,Poisson,0.15,clearance_ms,1.6822666666666668,0.06116097151789088,1.675345651206195,1.6891876821271385
Linear,Poisson,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Poisson,0.15,peak_km,0.34872377307291835,0.05313134901172036,0.3427113949366707,0.354736151209166
Michaelis-Menten,Poisson,0.15,auc_km_ms,1.9747415140822226,0.07283829658696181,1.9664990848944306,1.9829839432700147
Michaelis-Menten,Poisson,0.15,excess_auc_km_ms,0.020381363258478426,0.014539375287011103,0.018736078060260675,0.022026648456696177
Michaelis-Menten,Poisson,0.15,clearance_ms,1.6571333333333336,0.07383282813620819,1.6487783623062373,1.6654883043604298
Michaelis-Menten,Poisson,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Poisson,0.15,peak_km,0.35143013687733354,0.0551900140630026,0.3451847988600662,0.3576754748946009
Transporter-state,Poisson,0.15,auc_km_ms,3.035510980353563,1.2162360683772386,2.89788091294432,3.1731410477628064
Transporter-state,Poisson,0.15,excess_auc_km_ms,0.054370472606302504,0.2926859976767991,0.021249934055142618,0.08749101115746238
Transporter-state,Poisson,0.15,clearance_ms,3.2864666666666666,2.0889304160661046,3.0500819372119707,3.5228513961213626
Transporter-state,Poisson,0.15,minimum_free_fraction,0.13069062423703381,0.07153327633126719,0.1225958719932427,0.13878537648082492
Linear,Burst,0.15,peak_km,0.3281883789111443,0.028929078768571908,0.32491474547391347,0.3314620123483751
Linear,Burst,0.15,auc_km_ms,1.867724775852777,0.0610126052334946,1.8608205496178956,1.8746290020876586
Linear,Burst,0.15,excess_auc_km_ms,0.012952251812500495,0.0067197194749503905,0.012191843970343185,0.013712659654657806
Linear,Burst,0.15,clearance_ms,1.6787999999999998,0.05567367895539228,1.672499930147792,1.6851000698522076
Linear,Burst,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Michaelis-Menten,Burst,0.15,peak_km,0.3281883789111443,0.028929078768571908,0.32491474547391347,0.3314620123483751
Michaelis-Menten,Burst,0.15,auc_km_ms,1.9700012461920524,0.07206249373303344,1.961846607361625,1.9781558850224799
Michaelis-Menten,Burst,0.15,excess_auc_km_ms,0.015056028122915939,0.00815903359486713,0.014132746555420485,0.015979309690411392
Michaelis-Menten,Burst,0.15,clearance_ms,1.6525333333333334,0.06628394042362368,1.645032599367414,1.6600340672992528
Michaelis-Menten,Burst,0.15,minimum_free_fraction,1.0,0.0,1.0,1.0
Transporter-state,Burst,0.15,peak_km,0.3281883789111443,0.02892907876857191,0.32491474547391347,0.3314620123483751
Transporter-state,Burst,0.15,auc_km_ms,2.2640086242628636,0.14269170800638417,2.2478615374412554,2.280155711084472
Transporter-state,Burst,0.15,excess_auc_km_ms,0.010209149921772326,0.005603902577381167,0.00957500864810589,0.010843291195438762
Transporter-state,Burst,0.15,clearance_ms,2.9619999999999997,0.4729032228627544,2.908485962607991,3.0155140373920086
Transporter-state,Burst,0.15,minimum_free_fraction,0.3185396704411979,0.04071235319206888,0.3139326339785402,0.3231467069038556
