pattern,uptake_factor,metric,mean,sd,sem,ci95_low,ci95_high
Tonic,1.25,peak_ngu,1.319026587743548,0.09919961271059263,0.005727292310196727,1.3078010948155625,1.3302520806715337
Tonic,1.25,auc_ngu_ms,199.4916250036803,9.894254497768312,0.57124504977172,198.37198470612773,200.61126530123286
Tonic,1.25,excess_auc_ngu_ms,1.9645716846357386,0.9916885840966171,0.05725516709804607,1.8523515571235682,2.076791812147909
Tonic,1.25,time_above_ms,18.52166666666667,6.110495703954717,0.35278963395603075,17.830198984112847,19.21313434922049
Tonic,1.25,near_saturation_ms,0.0,0.0,0.0,0.0,0.0
Tonic,1.25,clearance_ms,23.940833333333334,2.1151130741903432,0.12211611027502914,23.701485757194277,24.18018090947239
Tonic,1.5,peak_ngu,1.3175841614469574,0.09912556225437882,0.005723017005113862,1.3063670481169343,1.3288012747769806
Tonic,1.5,auc_ngu_ms,166.79143647188283,8.261741440970944,0.47699186449196607,165.85653241747858,167.7263405262871
Tonic,1.5,excess_auc_ngu_ms,1.6486766560472985,0.8294093095972545,0.04788596881643565,1.5548201571670845,1.7425331549275125
Tonic,1.5,time_above_ms,15.545833333333333,5.123045280760063,0.29577915719174636,14.96610618523751,16.125560481429154
Tonic,1.5,near_saturation_ms,0.0,0.0,0.0,0.0,0.0
Tonic,1.5,clearance_ms,19.969166666666666,1.7621079384773906,0.10173534926210978,19.76976538211293,20.168567951220403
Poisson,0.5,peak_ngu,3.8437804418864014,0.8554094693263411,0.04938708873829179,3.7469817479593495,3.9405791358134534
Poisson,0.5,auc_ngu_ms,914.9444084991538,131.50956874599322,7.592708491651077,900.0626998555177,929.8261171427899
Poisson,0.5,excess_auc_ngu_ms,360.83129790817026,136.9262987662057,7.905443545180797,345.3366285596159,376.3259672567246
Poisson,0.5,time_above_ms,378.72,43.538467787205434,2.5136946097046904,373.79315856497885,383.6468414350212
Poisson,0.5,near_saturation_ms,143.5025,64.84755884671316,3.7439755556439933,136.16430791093777,150.84069208906223
Poisson,0.5,clearance_ms,94.855,28.763186157420417,1.6606433270737995,91.60013907893536,98.10986092106465
Poisson,0.75,peak_ngu,3.0912992693204826,0.7018316407381348,0.040520268670595876,3.0118795427261147,3.1707189959148505
Poisson,0.75,auc_ngu_ms,503.2003947192863,66.30796001063726,3.828291856155636,495.69694268122123,510.70384675735136
Poisson,0.75,excess_auc_ngu_ms,128.48800029089713,62.25002818162088,3.59400705277206,121.4437464674639,135.53225411433039
Poisson,0.75,time_above_ms,193.445,36.65663543486612,2.1163718335905926,189.29691120616243,197.59308879383755
Poisson,0.75,near_saturation_ms,44.1475,31.71210036851247,1.8308989684329102,40.5589380218715,47.736061978128504
Poisson,0.75,clearance_ms,53.975,15.982634545762828,0.922757835735558,52.166394641958306,55.7836053580417
Poisson,1.0,peak_ngu,2.7152923015621684,0.604913193705341,0.03492467952221348,2.64683992969863,2.7837446734257068
Poisson,1.0,auc_ngu_ms,341.3495146937047,40.6866429713406,2.349044427192569,336.74538761640724,345.95364177100214
Poisson,1.0,excess_auc_ngu_ms,63.215708523207844,34.73359588996658,2.0053450936995882,59.285232139556655,67.14618490685903
Poisson,1.0,time_above_ms,116.52583333333334,27.559148144680083,1.591128159996782,113.40722213973964,119.64444452692703
Poisson,1.0,near_saturation_ms,18.738333333333333,17.315507110985543,0.9997112691682382,16.778899245763586,20.69776742090308
Poisson,1.0,clearance_ms,37.49166666666667,10.201191675201624,0.5889660759732627,36.33729315775907,38.646040175574264
Poisson,1.25,peak_ngu,2.4860160343300137,0.5386290454495543,0.03109776243836513,2.425064419950818,2.5469676487092094
Poisson,1.25,auc_ngu_ms,257.35559798570665,28.212716758177013,1.6288619614904163,254.16302854118544,260.54816743022786
Poisson,1.25,excess_auc_ngu_ms,37.4406402729795,22.29912927998675,1.2874408292494615,34.917256247650556,39.964024298308445
Poisson,1.25,time_above_ms,78.95166666666667,21.202730164856156,1.22414019682347,76.55235188089267,81.35098145244066
Poisson,1.25,near_saturation_ms,9.659166666666666,10.894421464018844,0.6289897164916516,8.426346822343028,10.891986510990304
Poisson,1.25,clearance_ms,28.649166666666666,7.241680104876222,0.41809859579354436,27.82969341891132,29.468639914422013
Poisson,1.5,peak_ngu,2.332294884871793,0.4945830045031362,0.028554763078649955,2.2763275492376387,2.388262220505947
